yob,gender,province_territory,hh_income,vote_for
1969,Man,Ontario,45000,Green Party
1958,Man,Alberta,39000,Liberal Party
1945,Man,Ontario,73000,Liberal Party
1965,Man,Manitoba,65000,Conservative Party
1979,Man,Manitoba,230000,Liberal Party
1965,Woman,British Columbia,190000,Liberal Party
1973,Woman,Quebec,13000,Another party (please specify)
1960,Man,Quebec,24100,Conservative Party
1968,Man,Ontario,81000,Conservative Party
1947,Man,Ontario,61000,ndp
1963,Woman,Quebec,24000,Conservative Party
1959,Woman,Quebec,280000,Liberal Party
1938,Man,Ontario,95000,Conservative Party
1956,Man,Ontario,105000,ndp
1956,Man,Ontario,76000,Conservative Party
1954,Man,Ontario,110000,Conservative Party
1947,Woman,Quebec,49000,Conservative Party
1982,Man,Ontario,78500,Conservative Party
1967,Man,Nova Scotia,149500,Green Party
1970,Woman,Ontario,55000,Liberal Party
1938,Man,Ontario,42000,Conservative Party
1946,Man,Ontario,160000,Liberal Party
1966,Woman,Ontario,95000,Conservative Party
1939,Man,Ontario,250000,Conservative Party
1994,Man,Ontario,52000,Liberal Party
1983,Man,Ontario,55000,Liberal Party
1959,Woman,Ontario,80000,Conservative Party
1950,Man,Ontario,19750,Another party (please specify)
1961,Woman,Ontario,65000,Conservative Party
1970,Woman,Ontario,49000,Green Party
1956,Man,Quebec,50000,Liberal Party
2000,Woman,Ontario,35600,Liberal Party
1993,Woman,Ontario,54000,Green Party
1955,Man,Quebec,63000,Conservative Party
1957,Man,Ontario,124000,Conservative Party
1954,Woman,Quebec,39000,Bloc Québécois
1953,Man,Ontario,41000,Liberal Party
1959,Woman,Ontario,98000,Liberal Party
1961,Man,Nova Scotia,59000,ndp
1964,Man,Quebec,190000,Conservative Party
1945,Man,Ontario,70000,Liberal Party
1946,Man,Ontario,34000,Conservative Party
1977,Woman,Quebec,20000,Liberal Party
1983,Man,Ontario,65000,Liberal Party
1969,Woman,Ontario,85900,Conservative Party
1964,Man,Ontario,90000,Green Party
1948,Woman,Ontario,36000,ndp
1977,Man,Ontario,175000,Liberal Party
1987,Man,Alberta,67000,Conservative Party
1942,Woman,Ontario,74000,Green Party
1962,Man,Quebec,125000,Bloc Québécois
1963,Man,Ontario,200000,Liberal Party
1959,Man,Ontario,145000,Liberal Party
1955,Man,Newfoundland and Labrador,16000,Conservative Party
1996,Woman,Quebec,2,Green Party
1991,Man,Ontario,75000,Liberal Party
1947,Man,Ontario,85000,Liberal Party
1979,Woman,Ontario,99000,Conservative Party
1941,Woman,Ontario,69000,Liberal Party
1990,Man,Quebec,19000,Green Party
1960,Man,Quebec,40000,Conservative Party
1980,Man,Ontario,95000,Conservative Party
1972,Woman,Quebec,19000,Conservative Party
1951,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",New Brunswick,49000,Conservative Party
1949,Man,Ontario,20000,ndp
1976,Man,Ontario,50000,Conservative Party
1978,Man,Ontario,30000,ndp
1951,Woman,Ontario,250000,Liberal Party
1986,Woman,Ontario,19000,Liberal Party
1984,Man,Quebec,99546,ndp
1940,Man,New Brunswick,35000,Conservative Party
1972,Man,Ontario,125000,Liberal Party
1945,Woman,Quebec,35000,Bloc Québécois
1973,Man,Ontario,89000,Conservative Party
1983,Man,Alberta,30000,Liberal Party
1989,Woman,Ontario,69000,Liberal Party
1967,Woman,Ontario,100000,Liberal Party
1945,Woman,Ontario,50000,Conservative Party
1948,Man,Ontario,74000,Liberal Party
1954,Man,Nova Scotia,39000,Conservative Party
1933,Woman,Ontario,50000,Liberal Party
1946,Man,Ontario,85000,Liberal Party
1947,Woman,Ontario,20000,Conservative Party
1965,Man,Quebec,58000,Green Party
1958,Man,Prince Edward Island,124000,Liberal Party
1975,Man,Ontario,71000,People's Party
1962,Woman,Ontario,150000,Conservative Party
1988,Man,Newfoundland and Labrador,5000,Liberal Party
1960,Man,Ontario,40000,ndp
1956,Woman,Ontario,152000,Liberal Party
1958,Man,Ontario,85000,Green Party
1947,Man,Ontario,51000,Liberal Party
1966,Man,Ontario,95000,Conservative Party
1996,Man,Alberta,40000,Conservative Party
1960,Man,Newfoundland and Labrador,112000,Liberal Party
1950,Woman,Quebec,50000,Liberal Party
1936,Woman,Ontario,55000,Green Party
1962,Woman,Quebec,150000,Liberal Party
1967,Woman,Quebec,62000,Conservative Party
1940,Man,Nova Scotia,52000,Conservative Party
1920,Woman,Ontario,40000,Liberal Party
1954,Man,Quebec,15000,Conservative Party
1947,Woman,Ontario,49000,Green Party
1984,Man,Alberta,15000,Conservative Party
1952,Man,Ontario,64000,Liberal Party
1963,Woman,Ontario,45000,Conservative Party
1999,Man,Alberta,16000,Green Party
1956,Man,Ontario,65000,Liberal Party
1961,Woman,Quebec,110000,Green Party
1960,Woman,Quebec,31000,Liberal Party
1963,Woman,Quebec,52000,Liberal Party
1958,Woman,Ontario,170000,Liberal Party
1951,Woman,Ontario,59000,Liberal Party
1957,Man,Quebec,38500,People's Party
1980,Man,Ontario,15000,Conservative Party
1981,Woman,Quebec,29000,Conservative Party
1974,Woman,Quebec,120000,Conservative Party
1948,Man,Newfoundland and Labrador,21000,Liberal Party
1974,Man,Quebec,100000,Green Party
1949,Woman,Quebec,25000,Green Party
1970,Man,Ontario,44000,Green Party
1965,Woman,Ontario,100000,Conservative Party
1968,Woman,Quebec,60000,Conservative Party
1958,Woman,Ontario,160000,Liberal Party
1963,Man,Ontario,240000,Conservative Party
1963,Woman,Ontario,125000,Another party (please specify)
1955,Man,Ontario,77000,Liberal Party
1975,Woman,Ontario,40000,Liberal Party
1967,Man,British Columbia,80000,Conservative Party
1954,Man,Ontario,95500,ndp
1971,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,70000,Liberal Party
1962,Man,Quebec,65000,Conservative Party
1972,Man,Ontario,50000,ndp
1937,Woman,Ontario,26000,Conservative Party
1965,Woman,Ontario,185000,ndp
1969,Woman,Newfoundland and Labrador,160000,Liberal Party
1949,Woman,Ontario,18000,ndp
1961,Woman,Quebec,55000,Liberal Party
1959,Man,Ontario,155000,Green Party
1994,Man,Nova Scotia,76777,Liberal Party
1947,Man,Quebec,100000,Green Party
1980,Man,Quebec,150000,Conservative Party
1963,Woman,Ontario,57000,Liberal Party
1983,Woman,Ontario,30000,Green Party
1970,Woman,Quebec,21000,Green Party
1967,Man,Quebec,142000,Conservative Party
1960,Man,Ontario,50000,Green Party
1988,Man,Manitoba,57000,Conservative Party
1970,Man,Ontario,250000,Conservative Party
1971,Woman,Ontario,100000,Liberal Party
1990,Man,Ontario,120000,ndp
1987,Man,Ontario,90200,Green Party
2000,Woman,Ontario,40000,Liberal Party
1958,Man,Quebec,81000,Bloc Québécois
1957,Woman,Ontario,75000,Conservative Party
1985,Woman,British Columbia,59000,ndp
1985,Man,Quebec,36000,Liberal Party
1971,Man,Ontario,81000,Liberal Party
1955,Man,Ontario,7999,ndp
1987,Man,Alberta,70000,Liberal Party
1955,Man,Quebec,17000,Conservative Party
1944,Woman,Newfoundland and Labrador,55000,Liberal Party
1951,Woman,Ontario,80000,Liberal Party
1972,Woman,Ontario,62000,Liberal Party
1988,Woman,Ontario,60000,Liberal Party
1950,Man,Nova Scotia,120000,Liberal Party
1974,Woman,Quebec,232000,Conservative Party
1938,Man,Ontario,80000,Liberal Party
1951,Woman,Newfoundland and Labrador,32000,Conservative Party
1955,Man,Ontario,33000,Conservative Party
1965,Woman,Ontario,45000,ndp
1985,Man,Ontario,123000,ndp
1949,Woman,Ontario,100000,Liberal Party
1984,Man,Ontario,72000,Conservative Party
1948,Man,Ontario,60000,Liberal Party
1980,Man,Quebec,50000,Liberal Party
1971,Woman,Newfoundland and Labrador,65000,Conservative Party
1980,Woman,Quebec,69000,Liberal Party
1968,Man,Quebec,40000,Conservative Party
1955,Woman,Ontario,38000,Liberal Party
1963,Woman,Ontario,45000,Conservative Party
1956,Man,Quebec,90000,Bloc Québécois
1947,Man,Ontario,20000,Liberal Party
1937,Woman,Nova Scotia,44000,Liberal Party
1970,Woman,Quebec,75,Liberal Party
1969,Woman,Ontario,85000,Liberal Party
1987,Woman,Nova Scotia,30100,Green Party
1963,Woman,Ontario,130000,Liberal Party
1989,Woman,Ontario,79000,ndp
1972,Man,British Columbia,8700,Liberal Party
1975,Woman,Ontario,11000,Liberal Party
1974,Man,Quebec,192000,Conservative Party
1979,Man,Ontario,107000,Liberal Party
1973,Man,Quebec,15000,Liberal Party
1978,Man,Quebec,42000,ndp
1986,Man,Ontario,97000,Liberal Party
1952,Woman,Quebec,18000,Conservative Party
1964,Woman,Quebec,69999,Liberal Party
1944,Man,Ontario,65000,Liberal Party
1964,Woman,Ontario,88000,Liberal Party
2000,Woman,Quebec,150000,Liberal Party
1952,Woman,Ontario,80000,Conservative Party
1951,Woman,Quebec,45000,Liberal Party
1951,Man,Alberta,41000,Conservative Party
1984,Woman,Ontario,69000,Liberal Party
1958,Man,Ontario,123123,Liberal Party
1962,Woman,Ontario,20000,Liberal Party
1974,Man,Quebec,12000,Bloc Québécois
1949,Woman,Ontario,32000,Green Party
1964,Woman,Ontario,740000,Green Party
1957,Woman,Ontario,72000,Liberal Party
1963,Woman,Quebec,45000,Conservative Party
1947,Woman,Ontario,85000,Conservative Party
1961,Man,Ontario,80000,Liberal Party
1985,Man,Quebec,110000,Bloc Québécois
1963,Man,Quebec,15000,Liberal Party
1964,Man,Quebec,82000,Bloc Québécois
1947,Man,Ontario,101254,ndp
1965,Woman,Ontario,62000,People's Party
1943,Man,Ontario,85000,Green Party
1941,Man,Ontario,59000,Liberal Party
1993,Man,Quebec,20000,Conservative Party
1965,Woman,Nova Scotia,96000,Liberal Party
1956,Man,Ontario,80000,Conservative Party
1957,Man,Quebec,15000,Liberal Party
1977,Man,Ontario,114000,Conservative Party
1975,Woman,Quebec,140000,Bloc Québécois
1954,Man,Ontario,170000,Liberal Party
1955,Woman,Ontario,63000,Conservative Party
1979,Man,New Brunswick,65000,ndp
1966,Woman,Quebec,85000,Green Party
1969,Man,Ontario,272000,Conservative Party
1963,Man,Ontario,150000,Conservative Party
1966,Man,Ontario,200000,Conservative Party
1963,Woman,Quebec,75000,Bloc Québécois
1949,Woman,Ontario,20000,Conservative Party
1952,Man,Ontario,125000,Conservative Party
1966,Woman,Quebec,40000,Conservative Party
1979,Woman,Quebec,29000,Liberal Party
1956,Man,Ontario,75000,Conservative Party
1981,Man,Ontario,200000,Conservative Party
1982,Man,Quebec,68000,ndp
1973,Woman,Ontario,67112,ndp
1938,Man,Ontario,52000,Conservative Party
1952,Woman,Quebec,80000,Green Party
1953,Man,Ontario,53000,People's Party
1952,Man,Quebec,40000,Conservative Party
1952,Man,Ontario,80000,Conservative Party
1958,Man,Quebec,8000,Bloc Québécois
1981,Woman,Quebec,9000,Liberal Party
1954,Man,Ontario,128000,Conservative Party
1949,Man,New Brunswick,65000,Conservative Party
1943,Man,Ontario,79000,Conservative Party
1963,Man,Quebec,140000,Bloc Québécois
1938,Man,Ontario,89000,Liberal Party
1949,Man,Ontario,185000,Green Party
1957,Woman,Manitoba,80000,Liberal Party
1979,Man,Quebec,65000,Liberal Party
1964,Woman,Ontario,90000,Conservative Party
1977,Man,Ontario,155000,Liberal Party
1994,Woman,Ontario,75000,ndp
1979,Woman,Ontario,60000,Liberal Party
1972,Man,Quebec,21000,People's Party
1949,Man,Newfoundland and Labrador,75000,Conservative Party
1946,Man,Quebec,120000,Liberal Party
1973,Woman,Ontario,70000,Green Party
1948,Man,Quebec,45000,People's Party
1954,Man,Ontario,60000,Liberal Party
1974,Man,Ontario,2000000,Liberal Party
1971,Man,Quebec,132000,Conservative Party
1985,Woman,Ontario,90000,Liberal Party
1964,Woman,Ontario,260000,Liberal Party
1969,Man,Quebec,16000,Conservative Party
1965,Woman,Quebec,7000,Liberal Party
1954,Woman,Ontario,41000,Liberal Party
1978,Woman,Ontario,110000,ndp
1961,Woman,Quebec,85000,Liberal Party
1944,Man,Ontario,145000,Conservative Party
1948,Man,Nova Scotia,50000,Liberal Party
1943,Man,Ontario,85000,Conservative Party
1968,Woman,Quebec,105000,Liberal Party
1952,Man,Ontario,72000,Conservative Party
1944,Woman,Quebec,32000,Conservative Party
1969,Man,Ontario,235000,Liberal Party
1977,Man,Ontario,110000,Conservative Party
1949,Man,Nova Scotia,42000,Liberal Party
1988,Man,Quebec,66000,Liberal Party
1981,Woman,Quebec,95000,Bloc Québécois
1973,Woman,Nova Scotia,33000,Liberal Party
1947,Man,Ontario,150000,Liberal Party
1966,Man,Ontario,56000,Green Party
1947,Man,Newfoundland and Labrador,40000,Liberal Party
1971,Man,Quebec,95000,Conservative Party
1964,Woman,Quebec,30000,Another party (please specify)
1946,Woman,Quebec,105000,Conservative Party
1983,Woman,Ontario,150000,Conservative Party
1958,Woman,Quebec,90000,Liberal Party
1949,Man,Ontario,30000,Conservative Party
1956,Woman,Ontario,68000,Conservative Party
1960,Man,Nova Scotia,90000,Conservative Party
1974,Woman,Ontario,110000,Conservative Party
1941,Woman,Nova Scotia,50000,Conservative Party
1989,Woman,Quebec,150000,Green Party
1946,Woman,Ontario,29000,Green Party
1953,Woman,Ontario,50000,Liberal Party
1956,Woman,Ontario,89000,Green Party
1959,Woman,Ontario,34000,ndp
1951,Man,Ontario,84000,Liberal Party
1984,Woman,Ontario,30000,Liberal Party
1949,Man,Ontario,95000,Conservative Party
1979,Woman,Quebec,52000,Conservative Party
1954,Woman,Quebec,70000,Liberal Party
1944,Man,Ontario,21000,Liberal Party
1950,Woman,Nova Scotia,38000,ndp
1965,Woman,Ontario,10000,Liberal Party
1987,Man,Quebec,70000,Liberal Party
1957,Man,New Brunswick,148000,Conservative Party
1968,Woman,Quebec,36000,Bloc Québécois
1953,Man,Ontario,80000,Liberal Party
1977,Woman,Quebec,90000,Liberal Party
1960,Woman,Newfoundland and Labrador,34000,ndp
1967,Man,Ontario,200000,Green Party
1972,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Quebec,48000,Bloc Québécois
1986,Woman,New Brunswick,185000,Liberal Party
1943,Man,Quebec,18000,Liberal Party
1983,Man,Quebec,12000,Conservative Party
1962,Man,Ontario,74000,Liberal Party
1963,Woman,Ontario,500000,ndp
1977,Man,Ontario,150000,Conservative Party
1947,Woman,Nova Scotia,52000,Liberal Party
1969,Man,Quebec,45000,Conservative Party
1943,Man,Ontario,54000,Conservative Party
1984,Man,Ontario,57000,Liberal Party
1955,Woman,Quebec,70000,Conservative Party
1964,Woman,Ontario,124000,Liberal Party
1986,Woman,Ontario,69000,ndp
1962,Man,Ontario,160000,Liberal Party
1964,Man,Ontario,149000,Conservative Party
1938,Woman,Quebec,12508,ndp
1975,Woman,Ontario,100000,Liberal Party
1967,Man,Ontario,71000,ndp
1958,Man,Ontario,71000,Conservative Party
1947,Woman,Ontario,20000,Liberal Party
1985,Woman,Alberta,100000,Conservative Party
1965,Woman,Quebec,25000,Conservative Party
1984,Woman,Quebec,120000,Bloc Québécois
1974,Woman,Quebec,160000,Green Party
1960,Woman,Ontario,49000,ndp
1973,Woman,Quebec,80000,Bloc Québécois
1967,Man,Prince Edward Island,90000,ndp
1974,Man,Ontario,203000,Green Party
1958,Man,Ontario,170000,Green Party
1972,Woman,Quebec,35000,People's Party
1978,Woman,Quebec,105000,Liberal Party
1978,Woman,Ontario,89000,ndp
1967,Woman,Ontario,80000,Conservative Party
1980,Man,Ontario,118000,Conservative Party
1954,Woman,Quebec,30000,Another party (please specify)
1974,Man,Quebec,100000,People's Party
1959,Woman,Ontario,75000,Liberal Party
1946,Man,Ontario,78000,ndp
1960,Woman,Ontario,95000,Conservative Party
1970,Woman,Ontario,124000,ndp
1964,Woman,Quebec,120000,Conservative Party
1982,Woman,Ontario,79000,Liberal Party
1967,Woman,Ontario,95000,ndp
1962,Woman,Ontario,20000,Liberal Party
1963,Woman,Ontario,80000,Conservative Party
1985,Woman,British Columbia,80000,ndp
1953,Man,Quebec,84000,Conservative Party
1979,Man,Quebec,69900,ndp
1952,Man,Ontario,86000,Conservative Party
1969,Woman,Ontario,110000,Conservative Party
1964,Woman,Newfoundland and Labrador,140000,Conservative Party
1988,Man,Quebec,80000,Bloc Québécois
1946,Man,Quebec,54000,Bloc Québécois
1974,Man,Ontario,100000,Liberal Party
1951,Man,Ontario,167000,Conservative Party
1936,Man,Ontario,60000,Conservative Party
1943,Woman,Ontario,83000,Liberal Party
1973,Man,Quebec,180000,Green Party
1997,Man,Ontario,17000,Green Party
1949,Woman,Quebec,21000,Bloc Québécois
1966,Woman,Ontario,82000,Conservative Party
1948,Man,Quebec,20000,Conservative Party
1964,Man,Quebec,43450,People's Party
1966,Man,Ontario,91000,Liberal Party
1947,Man,New Brunswick,110000,Liberal Party
1971,Man,Ontario,75000,Liberal Party
1949,Man,Ontario,96000,Liberal Party
1966,Man,Quebec,100000,Green Party
1952,Man,Ontario,33000,Liberal Party
1954,Woman,Nova Scotia,80000,Liberal Party
1957,Woman,Ontario,24000,Liberal Party
1949,Man,Ontario,85000,Liberal Party
1945,Man,Ontario,18000,Liberal Party
1947,Man,Ontario,68000,Liberal Party
1973,Woman,Quebec,87000,Liberal Party
1979,Woman,Ontario,175000,Liberal Party
1959,Woman,Ontario,31500,Liberal Party
1982,Woman,Quebec,42000,ndp
1955,Man,Ontario,140000,Liberal Party
1952,Woman,Quebec,95000,Bloc Québécois
1978,Man,Ontario,100000,Liberal Party
1968,Woman,Ontario,80000,Liberal Party
1958,Man,Ontario,18000,Liberal Party
1944,Woman,Quebec,29000,Conservative Party
1972,Woman,Newfoundland and Labrador,157000,Liberal Party
1970,Woman,Ontario,20000,Liberal Party
1973,Man,Quebec,58000,Bloc Québécois
1967,Woman,Ontario,90000,Conservative Party
1943,Woman,Ontario,23000,Liberal Party
1955,Woman,Ontario,50000,Liberal Party
1990,Man,Ontario,66655,Conservative Party
1955,Man,Nova Scotia,52000,Liberal Party
1957,Man,Ontario,49000,Conservative Party
1960,Man,Ontario,30100,Liberal Party
1953,Man,Ontario,150000,Liberal Party
1969,Man,Ontario,135000,Liberal Party
1990,Woman,Ontario,50000,Liberal Party
1955,Man,Ontario,210000,Conservative Party
1987,Woman,Ontario,40000,Green Party
1962,Man,Ontario,108000,Conservative Party
1987,Man,Ontario,110000,Conservative Party
1946,Man,Ontario,100000,Liberal Party
1965,Man,Ontario,70000,Conservative Party
1980,Woman,Newfoundland and Labrador,165000,Liberal Party
1975,Woman,Ontario,110000,Liberal Party
1972,Man,Ontario,160000,Liberal Party
1983,Man,Quebec,55000,People's Party
1955,Woman,Quebec,66000,Conservative Party
1955,Man,Ontario,84000,Liberal Party
1959,Woman,Nova Scotia,25000,Liberal Party
1954,Man,Nova Scotia,34000,Conservative Party
1962,Woman,New Brunswick,100000,Liberal Party
1958,Man,Quebec,150000,Conservative Party
1979,Man,Ontario,105000,People's Party
1960,Woman,Quebec,75000,Bloc Québécois
1970,Man,Quebec,85000,Green Party
1987,Man,Quebec,180000,Conservative Party
1960,Woman,Quebec,11000,Liberal Party
1944,Man,Ontario,100000,Liberal Party
1953,Man,Ontario,120000,Conservative Party
1977,Woman,Ontario,20000,Conservative Party
1949,Man,Ontario,259700,Liberal Party
1948,Man,Ontario,124000,Conservative Party
1976,Man,Newfoundland and Labrador,75000,Conservative Party
1955,Man,Quebec,9000,Bloc Québécois
1959,Woman,Ontario,21000,Green Party
1949,Man,Ontario,94000,Conservative Party
1974,Woman,Quebec,190000,Conservative Party
1974,Man,Quebec,110000,People's Party
1951,Man,Quebec,29000,Bloc Québécois
1975,Woman,Quebec,100000,Bloc Québécois
1979,Woman,Quebec,85000,Bloc Québécois
1985,Man,Ontario,143760,Liberal Party
1975,Man,Ontario,140000,Liberal Party
1973,Woman,Quebec,135000,ndp
1978,Man,Quebec,140000,Bloc Québécois
1960,Woman,Quebec,34000,Conservative Party
1978,Woman,New Brunswick,110000,Conservative Party
1947,Woman,Ontario,125000,Another party (please specify)
1956,Man,Ontario,130000,People's Party
2000,Man,Quebec,28000,Liberal Party
1977,Woman,Ontario,100000,Conservative Party
1957,Man,Ontario,80000,Liberal Party
1977,Woman,Manitoba,113000,Conservative Party
1966,Woman,Ontario,35000,Liberal Party
1992,Woman,Quebec,450000,Liberal Party
1979,Man,Quebec,125000,Liberal Party
1964,Man,Quebec,40000,Bloc Québécois
1959,Woman,Nova Scotia,125000,Liberal Party
1972,Woman,Quebec,70000,Liberal Party
1965,Woman,Newfoundland and Labrador,99000,ndp
1979,Woman,Ontario,45000,Liberal Party
1946,Woman,Ontario,11000,Green Party
1978,Woman,Manitoba,50000,Liberal Party
1978,Man,Ontario,150000,Liberal Party
1961,Woman,Quebec,88000,Conservative Party
1952,Man,Ontario,80000,Liberal Party
1959,Man,New Brunswick,79000,Liberal Party
1987,Man,Quebec,255556,Conservative Party
1999,Woman,Ontario,50000,Liberal Party
1949,Woman,Alberta,54000,Liberal Party
1972,Man,Ontario,150000,Green Party
1969,Woman,Ontario,199000,Liberal Party
1946,Woman,Quebec,43000,Liberal Party
1959,Woman,Ontario,32000,ndp
1971,Woman,Newfoundland and Labrador,100000,Liberal Party
1988,Man,Ontario,83000,Green Party
1971,Man,Newfoundland and Labrador,320000,People's Party
1985,Man,Ontario,290000,Conservative Party
1956,Woman,Quebec,68000,Bloc Québécois
1953,Man,Quebec,45000,Conservative Party
1982,Woman,Ontario,170000,Liberal Party
1968,Woman,Ontario,40000,Liberal Party
1979,Man,Ontario,34000,Green Party
1990,Woman,Nova Scotia,50000,ndp
1943,Woman,Ontario,20000,Liberal Party
1969,Woman,Ontario,130000,ndp
1967,Woman,Quebec,48000,Liberal Party
1991,Woman,Ontario,75000,Liberal Party
1968,Man,Quebec,152400,Conservative Party
1951,Man,Ontario,45000,Liberal Party
1989,Woman,Ontario,30000,Green Party
1951,Man,Quebec,23000,Liberal Party
1962,Man,Ontario,15000,Liberal Party
1953,Woman,Nova Scotia,85000,Conservative Party
1992,Man,Ontario,120000,Conservative Party
1946,Man,Ontario,98000,Conservative Party
1957,Man,Ontario,160000,Green Party
1962,Man,Quebec,55000,Liberal Party
1975,Woman,Ontario,145000,Conservative Party
1967,Man,Ontario,75000,Conservative Party
1966,Man,Ontario,76000,Liberal Party
1957,Man,Ontario,192000,Conservative Party
1983,Woman,Quebec,36000,Liberal Party
1942,Man,Quebec,38000,Bloc Québécois
1948,Woman,Quebec,38000,Bloc Québécois
1962,Woman,Nova Scotia,50000,Conservative Party
1959,Man,Ontario,120000,Conservative Party
1956,Man,Ontario,110000,Liberal Party
1932,Man,Ontario,130000,Conservative Party
1975,Woman,Ontario,157000,Liberal Party
1969,Woman,Ontario,50000,Liberal Party
1945,Man,Ontario,60000,Conservative Party
1971,Woman,Nova Scotia,147000,Liberal Party
1962,Woman,Quebec,70000,Liberal Party
1998,Woman,Ontario,10000,ndp
1971,Woman,Ontario,36000,Liberal Party
1984,Woman,Ontario,98000,Conservative Party
1960,Woman,British Columbia,70000,ndp
1955,Woman,Nova Scotia,59000,Liberal Party
1946,Woman,New Brunswick,107000,Conservative Party
1957,Man,Ontario,104000,Green Party
1975,Woman,Quebec,129000,Conservative Party
1953,Man,Ontario,35000,Liberal Party
1957,Woman,Quebec,23,Liberal Party
1971,Man,Ontario,223000,Conservative Party
1994,Woman,Ontario,93000,Conservative Party
1968,Woman,Ontario,124000,Liberal Party
1985,Woman,Quebec,120000,Conservative Party
1947,Man,Ontario,120000,Conservative Party
1948,Man,Quebec,66000,Liberal Party
1960,Woman,Ontario,150000,Conservative Party
1990,Woman,Ontario,2000,ndp
1954,Woman,Ontario,125000,Conservative Party
1975,Woman,Quebec,61000,Bloc Québécois
1977,Man,Ontario,90000,ndp
1974,Woman,Newfoundland and Labrador,75000,Conservative Party
1957,Man,Ontario,47000,Conservative Party
1981,Man,Alberta,86000,ndp
1962,Woman,British Columbia,42000,ndp
1980,Man,Manitoba,8600,ndp
1973,Man,Ontario,100000,Liberal Party
1954,Woman,Ontario,100000,Green Party
1942,Man,Ontario,20000,Conservative Party
1992,Woman,Ontario,100000,Liberal Party
1990,Woman,Ontario,89999,ndp
1987,Man,Ontario,180000,Another party (please specify)
1947,Man,Ontario,120000,Conservative Party
1948,Woman,Quebec,142000,Liberal Party
1979,Man,Alberta,16000,Conservative Party
1964,Woman,Nova Scotia,890000,Liberal Party
1970,Woman,Quebec,14000,Green Party
1993,Man,British Columbia,85000,People's Party
1954,Man,Quebec,46000,Green Party
1962,Woman,Ontario,110000,ndp
1963,Man,Ontario,130000,Liberal Party
1956,Woman,Ontario,21000,Liberal Party
1945,Woman,Alberta,56000,ndp
