resp,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
93,rural,western,7,secondary/post-primary,never married,0,0.499,-0.6017186019266556
94,rural,eastern,23,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
95,rural,south west,21,tertiary/post-secondary,currently married,0,0.518,-0.2540235000400994
96,rural,central 2,18,primary/middle school,currently living with partner,0,0.586,0.990358969869679
97,rural,karamoja,19,primary/middle school,currently married,0,0.45,-1.4984059699498786
98,rural,east central,24,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
99,urban,kampala,22,secondary/post-primary,currently married,0,0.639,1.9602453067111254
100,urban,kampala,29,tertiary/post-secondary,currently living with partner,1,0.639,1.9602453067111254
101,rural,eastern,26,primary/middle school,currently married,0,0.526,-0.10762556240365462
102,rural,north,40,never attended,divorced or separated,0,0.475,-1.0409124148359898
103,rural,eastern,33,primary/middle school,widow or widower,0,0.526,-0.10762556240365462
104,rural,south west,22,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
105,rural,south west,16,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
106,urban,western,8,secondary/post-primary,never married,0,0.499,-0.6017186019266556
107,rural,eastern,31,never attended,currently married,0,0.526,-0.10762556240365462
108,urban,central 2,34,primary/middle school,divorced or separated,0,0.586,0.990358969869679
109,rural,east central,15,secondary/post-primary,never married,0,0.53,-0.03442659358543225
110,urban,kampala,18,tertiary/post-secondary,currently living with partner,0,0.639,1.9602453067111254
111,rural,eastern,17,primary/middle school,currently married,0,0.526,-0.10762556240365462
112,rural,south west,35,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
113,rural,west nile,28,primary/middle school,widow or widower,0,0.486,-0.8396152505858784
114,rural,east central,19,primary/middle school,currently married,0,0.53,-0.03442659358543225
115,urban,west nile,18,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
116,urban,central 2,25,secondary/post-primary,widow or widower,0,0.586,0.990358969869679
117,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
118,rural,north,18,never attended,currently married,0,0.475,-1.0409124148359898
119,rural,south west,31,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
120,rural,eastern,8,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
121,urban,karamoja,25,primary/middle school,currently married,0,0.45,-1.4984059699498786
122,urban,south west,15,tertiary/post-secondary,never married,0,0.518,-0.2540235000400994
123,urban,kampala,29,secondary/post-primary,divorced or separated,1,0.639,1.9602453067111254
124,rural,east central,33,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
125,urban,western,26,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
126,rural,north,13,primary/middle school,currently married,0,0.475,-1.0409124148359898
127,rural,west nile,24,primary/middle school,currently married,0,0.486,-0.8396152505858784
128,rural,east central,30,primary/middle school,currently married,0,0.53,-0.03442659358543225
129,urban,central 1,9,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
130,rural,east central,20,primary/middle school,currently married,0,0.53,-0.03442659358543225
131,rural,east central,27,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
132,urban,central 2,12,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
133,rural,western,22,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
134,urban,eastern,13,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
135,rural,central 1,9,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
136,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
137,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
138,rural,west nile,37,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
139,urban,kampala,21,primary/middle school,never married,0,0.639,1.9602453067111254
140,rural,east central,18,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
141,urban,kampala,11,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
142,rural,east central,22,primary/middle school,currently married,0,0.53,-0.03442659358543225
143,rural,central 1,17,secondary/post-primary,currently living with partner,1,0.54,0.14857082846012368
144,rural,central 1,12,tertiary/post-secondary,never married,0,0.54,0.14857082846012368
145,rural,north,16,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
146,rural,eastern,7,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
147,urban,central 2,10,secondary/post-primary,never married,0,0.586,0.990358969869679
148,rural,east central,10,secondary/post-primary,never married,0,0.53,-0.03442659358543225
149,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
150,rural,western,13,secondary/post-primary,never married,0,0.499,-0.6017186019266556
151,rural,south west,15,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
152,rural,western,20,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
153,urban,central 1,24,secondary/post-primary,currently married,0,0.54,0.14857082846012368
154,urban,kampala,12,primary/middle school,currently married,0,0.639,1.9602453067111254
155,rural,karamoja,16,never attended,currently married,0,0.45,-1.4984059699498786
156,rural,west nile,17,primary/middle school,currently married,1,0.486,-0.8396152505858784
157,rural,central 2,41,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
158,rural,central 1,26,never attended,widow or widower,0,0.54,0.14857082846012368
159,rural,central 2,36,primary/middle school,currently living with partner,0,0.586,0.990358969869679
160,rural,eastern,17,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
161,urban,western,33,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
162,rural,south west,29,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
163,rural,central 1,13,secondary/post-primary,never married,0,0.54,0.14857082846012368
164,urban,kampala,14,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
165,urban,kampala,10,primary/middle school,currently married,0,0.639,1.9602453067111254
166,urban,kampala,23,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
167,urban,east central,17,primary/middle school,currently married,0,0.53,-0.03442659358543225
168,urban,central 1,30,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
169,rural,east central,7,primary/middle school,currently married,0,0.53,-0.03442659358543225
170,rural,central 1,22,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
171,urban,kampala,30,primary/middle school,currently married,1,0.639,1.9602453067111254
172,rural,karamoja,38,never attended,widow or widower,0,0.45,-1.4984059699498786
173,rural,north,24,tertiary/post-secondary,never married,0,0.475,-1.0409124148359898
174,rural,south west,41,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
175,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
176,rural,north,27,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
177,rural,south west,20,secondary/post-primary,never married,1,0.518,-0.2540235000400994
178,urban,kampala,40,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
179,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
180,rural,north,35,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
181,urban,east central,18,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
182,rural,east central,10,secondary/post-primary,currently living with partner,1,0.53,-0.03442659358543225
183,urban,kampala,16,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
184,urban,south west,11,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
185,urban,kampala,27,primary/middle school,currently married,0,0.639,1.9602453067111254
186,rural,central 2,29,primary/middle school,currently living with partner,0,0.586,0.990358969869679
187,urban,central 2,30,primary/middle school,currently living with partner,0,0.586,0.990358969869679
188,urban,kampala,19,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
189,rural,western,16,primary/middle school,currently married,0,0.499,-0.6017186019266556
190,rural,western,30,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
191,rural,central 2,10,primary/middle school,currently living with partner,0,0.586,0.990358969869679
192,rural,central 1,13,secondary/post-primary,currently married,0,0.54,0.14857082846012368
193,urban,karamoja,11,never attended,never married,0,0.45,-1.4984059699498786
194,rural,eastern,10,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
195,rural,central 2,16,primary/middle school,currently living with partner,0,0.586,0.990358969869679
196,rural,west nile,11,primary/middle school,never married,0,0.486,-0.8396152505858784
197,rural,north,33,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
198,rural,central 1,20,secondary/post-primary,currently married,0,0.54,0.14857082846012368
199,rural,eastern,11,primary/middle school,currently married,0,0.526,-0.10762556240365462
200,urban,south west,20,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
201,rural,east central,20,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
202,rural,north,38,never attended,currently married,0,0.475,-1.0409124148359898
203,urban,western,25,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
204,urban,kampala,35,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
205,rural,western,22,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
206,rural,east central,10,secondary/post-primary,never married,0,0.53,-0.03442659358543225
207,rural,south west,24,primary/middle school,currently married,0,0.518,-0.2540235000400994
208,rural,south west,40,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
209,rural,eastern,28,primary/middle school,currently married,0,0.526,-0.10762556240365462
210,rural,south west,14,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
211,rural,south west,19,primary/middle school,currently married,0,0.518,-0.2540235000400994
212,rural,north,31,primary/middle school,currently married,0,0.475,-1.0409124148359898
213,urban,karamoja,10,primary/middle school,currently married,0,0.45,-1.4984059699498786
214,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
215,urban,north,24,primary/middle school,currently married,0,0.475,-1.0409124148359898
216,rural,south west,14,tertiary/post-secondary,never married,0,0.518,-0.2540235000400994
217,rural,central 1,26,primary/middle school,currently married,1,0.54,0.14857082846012368
218,urban,kampala,18,secondary/post-primary,currently married,1,0.639,1.9602453067111254
219,urban,kampala,40,secondary/post-primary,widow or widower,1,0.639,1.9602453067111254
220,rural,karamoja,29,never attended,currently living with partner,0,0.45,-1.4984059699498786
221,rural,south west,37,never attended,divorced or separated,0,0.518,-0.2540235000400994
222,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
223,urban,kampala,11,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
224,urban,west nile,20,primary/middle school,currently married,0,0.486,-0.8396152505858784
225,rural,north,18,primary/middle school,currently married,0,0.475,-1.0409124148359898
226,rural,north,23,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
227,rural,central 1,24,secondary/post-primary,currently married,0,0.54,0.14857082846012368
228,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
229,rural,eastern,37,primary/middle school,currently married,1,0.526,-0.10762556240365462
230,rural,east central,32,never attended,currently living with partner,0,0.53,-0.03442659358543225
231,urban,western,6,primary/middle school,never married,0,0.499,-0.6017186019266556
232,rural,karamoja,25,never attended,currently living with partner,0,0.45,-1.4984059699498786
233,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
234,rural,central 2,31,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
235,rural,east central,41,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
236,rural,karamoja,21,never attended,currently living with partner,0,0.45,-1.4984059699498786
237,rural,east central,28,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
238,rural,east central,12,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
239,rural,karamoja,27,never attended,currently living with partner,0,0.45,-1.4984059699498786
240,rural,west nile,37,primary/middle school,currently married,0,0.486,-0.8396152505858784
241,rural,south west,16,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
242,rural,eastern,13,primary/middle school,currently married,0,0.526,-0.10762556240365462
243,rural,north,31,primary/middle school,currently married,0,0.475,-1.0409124148359898
244,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
245,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
246,urban,kampala,17,secondary/post-primary,currently married,1,0.639,1.9602453067111254
247,rural,south west,24,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
248,rural,east central,23,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
249,rural,south west,23,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
250,rural,east central,21,primary/middle school,currently married,0,0.53,-0.03442659358543225
251,rural,south west,38,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
252,rural,north,26,primary/middle school,divorced or separated,1,0.475,-1.0409124148359898
253,rural,south west,17,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
254,urban,karamoja,25,never attended,currently married,0,0.45,-1.4984059699498786
255,urban,kampala,10,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
256,rural,west nile,21,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
257,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
258,urban,kampala,21,primary/middle school,divorced or separated,1,0.639,1.9602453067111254
259,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
260,urban,kampala,11,primary/middle school,currently married,0,0.639,1.9602453067111254
261,urban,kampala,20,secondary/post-primary,currently married,0,0.639,1.9602453067111254
262,rural,south west,18,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
263,rural,east central,15,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
264,urban,karamoja,26,tertiary/post-secondary,currently married,0,0.45,-1.4984059699498786
265,urban,central 2,15,tertiary/post-secondary,currently married,0,0.586,0.990358969869679
266,rural,western,21,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
267,rural,western,19,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
268,urban,kampala,12,primary/middle school,never married,0,0.639,1.9602453067111254
269,rural,north,11,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
270,rural,west nile,23,primary/middle school,currently married,0,0.486,-0.8396152505858784
271,urban,kampala,20,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
272,urban,south west,21,primary/middle school,divorced or separated,1,0.518,-0.2540235000400994
273,rural,west nile,38,never attended,currently married,0,0.486,-0.8396152505858784
274,rural,central 1,6,primary/middle school,never married,0,0.54,0.14857082846012368
275,urban,kampala,21,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
276,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
277,rural,western,25,primary/middle school,currently married,0,0.499,-0.6017186019266556
278,urban,east central,22,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
279,urban,kampala,23,secondary/post-primary,currently married,0,0.639,1.9602453067111254
280,rural,south west,13,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
281,rural,eastern,34,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
282,rural,eastern,33,never attended,currently married,0,0.526,-0.10762556240365462
283,rural,eastern,18,primary/middle school,currently married,0,0.526,-0.10762556240365462
284,rural,eastern,27,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
285,rural,karamoja,30,primary/middle school,currently married,0,0.45,-1.4984059699498786
286,rural,karamoja,14,never attended,currently married,0,0.45,-1.4984059699498786
287,rural,western,20,primary/middle school,currently married,0,0.499,-0.6017186019266556
288,rural,north,28,primary/middle school,currently married,0,0.475,-1.0409124148359898
289,rural,karamoja,35,never attended,currently married,0,0.45,-1.4984059699498786
290,rural,north,12,secondary/post-primary,divorced or separated,0,0.475,-1.0409124148359898
291,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
292,rural,eastern,13,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
293,rural,north,20,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
294,rural,karamoja,19,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
295,rural,karamoja,30,primary/middle school,currently married,0,0.45,-1.4984059699498786
296,urban,central 1,17,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
297,rural,western,24,tertiary/post-secondary,currently living with partner,0,0.499,-0.6017186019266556
298,urban,kampala,18,secondary/post-primary,never married,0,0.639,1.9602453067111254
299,urban,kampala,15,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
300,rural,north,37,never attended,widow or widower,0,0.475,-1.0409124148359898
301,rural,west nile,34,primary/middle school,currently married,0,0.486,-0.8396152505858784
302,rural,eastern,11,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
303,rural,central 2,22,primary/middle school,divorced or separated,1,0.586,0.990358969869679
304,urban,kampala,18,tertiary/post-secondary,currently living with partner,0,0.639,1.9602453067111254
305,rural,karamoja,17,primary/middle school,currently living with partner,1,0.45,-1.4984059699498786
306,rural,karamoja,17,never attended,currently married,0,0.45,-1.4984059699498786
307,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
308,rural,eastern,16,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
309,rural,east central,8,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
310,rural,south west,7,secondary/post-primary,never married,0,0.518,-0.2540235000400994
311,rural,eastern,22,primary/middle school,currently married,0,0.526,-0.10762556240365462
312,rural,north,26,primary/middle school,currently married,0,0.475,-1.0409124148359898
313,urban,kampala,35,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
314,rural,east central,18,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
315,urban,central 2,10,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
316,rural,central 1,31,secondary/post-primary,currently married,1,0.54,0.14857082846012368
317,rural,west nile,33,never attended,divorced or separated,0,0.486,-0.8396152505858784
318,urban,kampala,27,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
319,rural,west nile,9,primary/middle school,currently married,0,0.486,-0.8396152505858784
320,rural,central 1,20,primary/middle school,currently married,0,0.54,0.14857082846012368
321,rural,eastern,26,primary/middle school,currently married,0,0.526,-0.10762556240365462
322,rural,karamoja,26,never attended,currently married,0,0.45,-1.4984059699498786
323,rural,east central,23,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
324,rural,eastern,38,never attended,currently living with partner,0,0.526,-0.10762556240365462
325,urban,kampala,12,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
326,rural,north,27,never attended,currently married,0,0.475,-1.0409124148359898
327,rural,karamoja,17,never attended,currently married,0,0.45,-1.4984059699498786
328,rural,east central,34,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
329,urban,western,14,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
330,rural,central 2,36,never attended,currently married,0,0.586,0.990358969869679
331,rural,central 2,13,primary/middle school,never married,0,0.586,0.990358969869679
332,urban,kampala,33,tertiary/post-secondary,divorced or separated,0,0.639,1.9602453067111254
333,rural,south west,12,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
334,rural,karamoja,14,never attended,currently married,0,0.45,-1.4984059699498786
335,rural,north,18,tertiary/post-secondary,currently living with partner,0,0.475,-1.0409124148359898
336,rural,east central,10,primary/middle school,currently married,0,0.53,-0.03442659358543225
337,rural,south west,19,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
338,rural,central 2,30,primary/middle school,currently living with partner,0,0.586,0.990358969869679
339,rural,western,35,never attended,currently married,0,0.499,-0.6017186019266556
340,rural,north,37,primary/middle school,currently married,0,0.475,-1.0409124148359898
341,rural,south west,9,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
342,rural,south west,10,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
343,rural,west nile,10,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
344,urban,kampala,22,secondary/post-primary,currently married,0,0.639,1.9602453067111254
345,urban,kampala,20,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
346,rural,central 1,10,secondary/post-primary,never married,0,0.54,0.14857082846012368
347,rural,western,29,never attended,currently living with partner,0,0.499,-0.6017186019266556
348,rural,west nile,23,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
349,urban,east central,18,secondary/post-primary,never married,0,0.53,-0.03442659358543225
350,urban,kampala,17,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
351,rural,north,15,primary/middle school,currently married,0,0.475,-1.0409124148359898
352,rural,karamoja,32,never attended,currently living with partner,0,0.45,-1.4984059699498786
353,rural,north,13,tertiary/post-secondary,never married,0,0.475,-1.0409124148359898
354,urban,kampala,12,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
355,rural,east central,17,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
356,rural,west nile,37,primary/middle school,currently married,1,0.486,-0.8396152505858784
357,rural,central 2,37,never attended,divorced or separated,0,0.586,0.990358969869679
358,urban,kampala,9,primary/middle school,never married,0,0.639,1.9602453067111254
